,LEFT_SHOULDER,LEFT_ELBOW,LEFT_WRIST,LEFT_HIP,LEFT_KNEE,LEFT_ANKLE,RIGHT_SHOULDER,RIGHT_ELBOW,RIGHT_WRIST,RIGHT_HIP,RIGHT_KNEE,RIGHT_ANKLE
0,131.9082798186767,128.2898731316611,172.40458056965318,137.88090242095183,107.50760417174004,144.1159200580563,158.33130031253904,24.981728228795244,179.91911060201792,168.0179777234035,175.60035167759528,176.0269806700906
1,119.41149814659232,138.65577112033003,172.4556889730032,134.0769518874241,113.18531860721953,152.5673299871091,162.81435883077057,13.256035015252175,176.52927153790802,166.44839075342148,172.36805474327738,153.57231656661375
2,118.81977885577393,139.85350050528032,171.39983312615996,134.31025851110775,114.23868508129411,153.86721952090284,163.30454202515853,10.505620010605092,178.69079907957857,165.1996134096821,170.84631193191885,151.7497409962082
3,117.85453595177525,135.6752996296388,172.34469176812217,131.13300360654566,121.53824843823537,146.35033775382388,160.4104343725341,19.765292101271985,170.8853567137992,164.3529472610047,168.52014585253013,146.7247984515309
4,116.90018125535138,136.60535261883442,171.01125792349228,130.75154200073217,119.66548374622991,149.80936601261737,159.31413343057602,20.69340083154341,170.12764512807354,163.0102973266607,167.8034022497698,150.4844090848933
5,114.6607429233298,140.41436931631333,167.04601098825628,131.06352922656995,124.76384691697606,149.2094584237344,124.22104716154094,56.52855762403689,169.75810721023532,160.67561971688176,167.39691590846087,155.41676836168045
6,111.3374828960393,142.5505181971505,165.628235535414,130.89069444940904,123.28679717437134,146.89953127474092,113.75566158350455,64.8893443581651,165.667820949934,160.1378212585058,167.86775810742432,155.08440878121965
7,108.48234134247913,143.50625905196443,167.26722792645162,131.0717763656481,126.89807037323314,143.18978822723517,89.49524959412662,89.9196507154831,163.71943198810547,160.128273070246,167.09366607160297,146.65181806199507
8,106.425854144436,144.59008559399774,166.10105889201128,133.28626688713197,129.25781323116226,139.7509345569073,81.7287667426309,97.27978832927164,160.61545861626604,159.09328786067582,166.96025577995508,142.37559635941648
9,98.1607181942995,147.93742503930508,166.9772879274015,134.01039512307685,133.6303954592016,136.64319284639853,62.74739597223516,118.23742649186464,168.21740840889612,159.6745688745674,165.02091679603495,151.55379101417066
10,95.22673262262337,150.2281895295146,166.79822785915036,134.93328579911986,135.4024560777666,136.21534308238452,60.97366837260237,121.89223534134658,171.53226962435943,159.94397771005282,164.25320233426575,156.18877275131865
11,90.4778881333714,154.9322603862078,166.25367884687947,135.77386533320418,144.09152718310526,130.82178089599472,55.59944256272937,131.66384957934469,174.70485688959687,161.3100137884252,166.69224361977052,153.44889400657073
12,91.1102694737942,155.27386647495558,166.5966808784681,135.06636515796797,145.1015405247498,131.71271868644925,56.16587610257464,132.1575381567266,178.43424679197034,162.16322808717956,167.58560255005355,149.9903588543711
13,88.56502357083716,157.83795254744714,168.04925352683483,134.5747505561383,149.73270920740492,136.80709105933312,56.04381059407088,133.700568268855,178.65835877643786,164.4098065760065,173.42694192101217,167.3100994622659
