,LEFT_SHOULDER,LEFT_ELBOW,LEFT_WRIST,LEFT_HIP,LEFT_KNEE,LEFT_ANKLE,RIGHT_SHOULDER,RIGHT_ELBOW,RIGHT_WRIST,RIGHT_HIP,RIGHT_KNEE,RIGHT_ANKLE
mean,129.95984453888184,111.49611316403958,161.42449183087925,113.8535993986483,134.62285913493469,140.23842757492895,119.74895308304097,132.77400547514966,150.07102447427573,126.24069813173621,140.9779553181011,146.57960492070822
min,1.518445170763711,5.037406051873081,48.789012962873485,9.84780340746988,38.829653087923305,57.41543068488656,0.4093616532160535,10.505620010605092,50.755650877168556,3.497354636808604,40.40786043983573,61.23711259001682
max,179.9995720333783,179.80167809981683,179.9244488504033,177.46232908701418,179.85866634709956,179.390858445674,179.49647119021813,179.89746323264654,179.95450049600632,179.73195107746753,179.89108990722985,179.8676702195887
std,46.06029857634375,51.50147526294567,19.536977018858565,41.89675377477193,35.54417627869275,19.029927103373318,53.55230634955454,32.7893006644452,26.386702086703952,47.03891315133756,32.46660634258722,21.398430989731725
