,LEFT_SHOULDER,LEFT_ELBOW,LEFT_WRIST,LEFT_HIP,LEFT_KNEE,LEFT_ANKLE,RIGHT_SHOULDER,RIGHT_ELBOW,RIGHT_WRIST,RIGHT_HIP,RIGHT_KNEE,RIGHT_ANKLE
mean,127.30516154196155,121.60985160595138,154.36812247656755,126.25893354864799,140.24790958475478,144.20301314524082,112.37497625344128,128.9063833245,155.08909027886753,118.80015637012987,136.35916477800825,148.55841725768278
min,1.518445170763711,0.3440783768016062,0.6574262805547029,0.49691389681410975,0.4496164038671955,1.0913006602781674,0.0007911816882108797,0.953649349827574,4.420786192518688,0.11183633953718995,0.8185239780564787,2.8177493421350737
max,179.9995720333783,179.97871356241473,179.97807784155924,179.96400057529445,179.99782680574066,179.89546985908345,179.9451529960645,179.99543852810874,179.95922489340086,179.8929184881216,179.99513085243865,179.93755885295786
std,40.22678202076608,42.02149266896708,22.43363775889832,44.59415667745557,38.8945641936585,24.014523013696476,51.63538674536562,41.22502058267185,22.792152006228825,48.547501553992475,38.88843542603946,23.02748258416035
