,LEFT_SHOULDER,LEFT_ELBOW,LEFT_WRIST,LEFT_HIP,LEFT_KNEE,LEFT_ANKLE,RIGHT_SHOULDER,RIGHT_ELBOW,RIGHT_WRIST,RIGHT_HIP,RIGHT_KNEE,RIGHT_ANKLE
mean,132.01235798994796,123.14813813942045,155.64225303998447,123.17430750414252,133.58379714877435,144.39855953901957,119.69904225369446,130.41623541423007,156.06397783448796,117.1087450774713,131.64339401422188,148.66335731472967
min,0.0665522225934989,0.3440783768016062,0.6574262805547029,0.49691389681410975,0.4496164038671955,1.0913006602781674,0.0007911816882108797,0.953649349827574,4.420786192518688,0.11183633953718995,0.8185239780564787,2.8177493421350737
max,179.9995720333783,179.97871356241473,179.99996251801937,179.96400057529445,179.99782680574066,179.98016030401368,179.99290351160192,179.99543852810874,179.97416193705178,179.8929184881216,179.99513085243865,179.93755885295786
std,39.12107352156979,42.11405152210752,21.145396711389353,44.21666330592985,39.65239076511154,23.170885657812466,50.56854826162421,39.777455364854156,22.35928175733785,47.225332663026585,38.538895179793585,22.3251627917519
