,LEFT_SHOULDER,LEFT_ELBOW,LEFT_WRIST,LEFT_HIP,LEFT_KNEE,LEFT_ANKLE,RIGHT_SHOULDER,RIGHT_ELBOW,RIGHT_WRIST,RIGHT_HIP,RIGHT_KNEE,RIGHT_ANKLE
mean,132.56283178205777,115.91671765897493,158.8990753145096,136.9127561379468,157.17900493310282,142.2638449571079,105.68648837872517,131.70473427824638,157.77192800210787,120.86297150604814,148.7341073447863,152.02212453215003
min,1.518445170763711,5.037406051873081,43.76361780205565,9.73809693661148,34.15324833212401,49.6066482146315,0.0007911816882108797,2.5199031416522817,7.906276333658565,0.11803569484426385,3.285306602112092,10.524341834026671
max,179.9995720333783,179.92072274134284,179.97807784155924,179.9364209937989,179.99782680574066,179.75497019222166,179.56521090569962,179.99543852810874,179.95922489340086,179.8929184881216,179.99513085243865,179.91102207953506
std,39.42868925870583,45.28009777435592,16.509745612405,37.24627222943694,31.743068235864044,16.811936168847193,57.91128481080087,43.91847259856035,20.166356646188508,47.19385559114619,35.674661249166306,17.805391816947598
