,LEFT_SHOULDER,LEFT_ELBOW,LEFT_WRIST,LEFT_HIP,LEFT_KNEE,LEFT_ANKLE,RIGHT_SHOULDER,RIGHT_ELBOW,RIGHT_WRIST,RIGHT_HIP,RIGHT_KNEE,RIGHT_ANKLE
mean,135.60673448579448,114.86768562499556,152.13962522879655,132.1808257677626,148.6631482982536,140.85443397789413,105.13138734605782,128.20174429838633,156.01780820952538,120.97769132385586,143.32283740952653,148.07376168347577
min,1.518445170763711,1.1352786328544981,0.6574262805547029,0.49691389681410975,0.4496164038671955,1.0913006602781674,0.0007911816882108797,0.953649349827574,7.906276333658565,0.11183633953718995,0.8185239780564787,2.8177493421350737
max,179.9995720333783,179.97871356241473,179.97807784155924,179.96400057529445,179.99782680574066,179.89546985908345,179.60409577581214,179.99543852810874,179.95922489340086,179.8929184881216,179.99513085243865,179.93755885295786
std,36.540723636237075,42.56871464763055,23.4057963446695,45.83476357559998,38.18055254328984,25.356721120159676,56.147270266091,44.27556267924192,21.41384842562968,50.9431211921802,40.23597978013243,23.863695145961575
